type,rmse,r2,mae,model,des,split
va,0.760350673802469,0.6811074342496528,0.5548458538152043,SVM,MACCS,random
te,0.7489568157906485,0.6821132951481527,0.5492580494318581,SVM,MACCS,random
tr,0.38777757106476296,0.9162668917815437,0.23134209096502048,SVM,MACCS,random
