auc_roc,auc_prc,se,sp,acc,mcc,precision,type,split,model,seed
0.8855087702528318,0.8688256544684012,0.8188775510204082,0.8290398126463701,0.8241758241758241,0.6477896635756455,0.8147208121827412,tr,random,gcn,0
0.8941798941798942,0.8621599568289137,0.8163265306122449,0.8518518518518519,0.8349514563106796,0.6689372451532564,0.8333333333333334,va,random,gcn,0
0.8424242424242423,0.8668410938215572,0.7291666666666666,0.7636363636363637,0.7475728155339806,0.49280303030302997,0.7291666666666666,te,random,gcn,0
0.9999760805606717,0.9999735486586608,0.9974226804123711,0.9953596287703016,0.9963369963369964,0.992657661981318,0.9948586118251928,tr,random,gcn,1
0.9773946360153256,0.972593580959779,0.8666666666666667,0.9482758620689655,0.912621359223301,0.8225412248615124,0.9285714285714286,va,random,gcn,1
0.9753039513677811,0.9820117381357858,0.9285714285714286,0.9361702127659575,0.9320388349514563,0.8634304326357003,0.9454545454545454,te,random,gcn,1
0.9976331360946746,0.9972842133127072,0.982051282051282,0.9813519813519813,0.9816849816849816,0.9632938763700124,0.979539641943734,tr,random,gcn,2
0.981439393939394,0.9800354392143719,0.9166666666666666,0.9090909090909091,0.912621359223301,0.824820811331504,0.8979591836734694,va,random,gcn,2
0.9000754147812972,0.9000259783684407,0.8431372549019608,0.8269230769230769,0.8349514563106796,0.6700603318250372,0.8269230769230769,te,random,gcn,2
0.9998561823607666,0.9998382288684757,0.994750656167979,0.9863013698630136,0.9902319902319903,0.9804294602208304,0.9844155844155844,tr,random,gcn,3
0.9788838612368023,0.9802117150334403,0.9038461538461539,0.9607843137254902,0.9320388349514563,0.8656102191240113,0.9591836734693877,va,random,gcn,3
0.949468085106383,0.9564638583236788,0.875,0.8085106382978723,0.8446601941747572,0.686385289492256,0.8448275862068966,te,random,gcn,3
0.9996597705540369,0.9996450397421711,0.9874055415617129,0.9928909952606635,0.9902319902319903,0.9804545609048997,0.9924050632911392,tr,random,gcn,4
0.946360153256705,0.9395651215191035,0.8666666666666667,0.8620689655172413,0.8640776699029126,0.7256836134598503,0.8297872340425532,va,random,gcn,4
0.9627659574468086,0.9532985513692882,0.9148936170212766,0.8571428571428571,0.883495145631068,0.7691198166874824,0.8431372549019608,te,random,gcn,4
0.9999282931376533,0.9999215548452881,1.0,0.9906542056074766,0.9951159951159951,0.990263734711551,0.9898734177215189,tr,random,gcn,5
0.9728301886792453,0.9769835559317372,0.9245283018867925,0.86,0.8932038834951457,0.7872063884604327,0.875,va,random,gcn,5
0.9819923371647509,0.9760887893237874,0.9555555555555556,0.896551724137931,0.9223300970873787,0.8462907797646774,0.8775510204081632,te,random,gcn,5
0.9995643871583721,0.9995490717744467,0.9974937343358395,0.9833333333333333,0.9902319902319903,0.980563793723303,0.9827160493827161,tr,random,gcn,6
0.9822641509433963,0.9812539219848504,0.98,0.8867924528301887,0.9320388349514563,0.8684325535452794,0.8909090909090909,va,random,gcn,6
0.9337301587301587,0.9263438032199298,0.85,0.9047619047619048,0.883495145631068,0.7547619047619042,0.85,te,random,gcn,6
0.9984227883190747,0.9982939932014011,0.951530612244898,0.9929742388758782,0.9731379731379731,0.9468155420950377,0.9920212765957447,tr,random,gcn,7
0.9630188679245283,0.9736878217062741,0.9245283018867925,0.94,0.9320388349514563,0.8642022493381836,0.9423076923076923,va,random,gcn,7
0.9884437596302003,0.9847118060176254,0.8636363636363636,0.9661016949152542,0.9223300970873787,0.8421570419945587,0.95,te,random,gcn,7
0.9905859117840685,0.9893606894171321,0.948051948051948,0.9608294930875576,0.9548229548229549,0.9093060173061647,0.9554973821989529,tr,random,gcn,8
0.9415535444947208,0.9445577676756295,0.8846153846153846,0.8431372549019608,0.8640776699029126,0.7285772886652166,0.8518518518518519,va,random,gcn,8
0.9732277526395174,0.9749172032111901,0.9038461538461539,0.9411764705882353,0.9223300970873787,0.8453414407537623,0.94,te,random,gcn,8
0.9951025622826318,0.9943554591234905,0.9818652849740933,0.9611872146118722,0.970873786407767,0.9418833084566196,0.9570707070707071,tr,random,gcn,9
0.9445283018867925,0.9595081725465804,0.8867924528301887,0.86,0.8737864077669902,0.7473567086362886,0.8703703703703703,va,random,gcn,9
0.9683333333333333,0.9689056361215262,0.94,0.875,0.9081632653061225,0.8175588759980955,0.8867924528301887,te,random,gcn,9
