l2,lr,gcn_hidden_feat,classifier_hidden_feats,auc_roc,auc_prc,se,sp,acc,mcc,precision,type,split,model,seed
0.0001,0.00031622776601683794,"(256, 128)",128,0.9119345294903607,0.8996965595695434,0.8389423076923077,0.8660049627791563,0.8522588522588522,0.704947270471464,0.8660049627791563,tr,scaffold,gcn,0
0.0001,0.00031622776601683794,"(256, 128)",128,0.8102564102564103,0.5820260881369346,0.44,0.9102564102564102,0.7961165048543689,0.3954191357844581,0.6111111111111112,va,scaffold,gcn,0
0.0001,0.00031622776601683794,"(256, 128)",128,0.8583333333333334,0.8743211559808884,0.6875,0.8727272727272727,0.7864077669902912,0.5734108946580572,0.825,te,scaffold,gcn,0
