COc1ccc(Cl)cc1NC(=O)c1ccc(-c2ccccc2)cc1
Cc1ccnc(NC(=O)c2ccccc2NC(=O)c2ccccc2)c1
COc1cc(-c2ccc(C)cc2)nc(N)n1
COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Oc3ccccc3)cc2)cc1
COc1ccc(C(=O)Nc2cc(Cl)ccc2OC)c(OC)c1
COc1cc(-c2n[nH]c(=S)n2/N=C/c2ccc(-c3ccccc3[N+](=O)[O-])o2)cc(OC)c1OC
CC1(C)OC(C)(C)/C(=C\Nc2cc3ccccc3cc2[N+](=O)[O-])C1=O
Brc1ccc(/C=C/c2nc3cc(-c4ccccc4)ccc3o2)cc1
Clc1ccc(/C=C/c2nc3cc(-c4ccccc4)ccc3o2)cc1Cl
COc1ccc(-c2[nH]c(C)c(C(C)=O)c2C)cc1
O=C(Nc1cccnc1Cl)c1ccc(-c2ccccc2)cc1
O=C(Nc1ccncc1)c1ccc(-c2ccccc2)cc1
Cc1cc(C)nc(NC(=O)c2ccc(-c3ccccc3)cc2)n1
Cc1cc(NC(=O)c2ccc(C)c(C)c2)no1
O=C(Nc1ncccn1)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
O=C(NC(=S)Nc1cccc([N+](=O)[O-])c1)c1ccc(-c2ccc([N+](=O)[O-])cc2)o1
O=C(/C=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1)c1ccccc1
COc1ccc(C(=O)Oc2ccc(/C=N/Nc3ccccc3)cc2OC)cc1OC
COc1cc(/C=N/Nc2ccccc2)ccc1OS(=O)(=O)c1ccc(C)cc1
COc1ccc(/C=C/C(=O)Oc2ccc(/C=N/Nc3ccccc3)cc2OC)cc1
O=[N+]([O-])c1cccc(-c2nnc(-c3cccc([N+](=O)[O-])c3)o2)c1
O=C(Nc1nnn[nH]1)c1cccc([N+](=O)[O-])c1
O=C(Nc1nnn[nH]1)C1c2ccccc2Oc2ccccc21
Cc1c(NC(=O)c2ccco2)c(=O)n(-c2ccccc2)n1C
Cc1ccccc1NCN1C(=O)C2C3c4ccccc4C(c4ccccc43)C2C1=O
COc1ccc(/C=C2\CCCC3C2=NC(=S)NC3c2ccc(OC)cc2)cc1
Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccccc1C(=O)O)c1c(C)[nH]n(-c2ccccc2)c1=O
COc1ccc(C2NC(=S)NC(C)=C2C(=O)Nc2ccccc2Cl)cc1OC
COc1cccc(CNC(=O)c2sc3ccccc3c2Cl)c1
NCc1sccc1-c1ccccc1
O=C(/C=C\c1ccnc2ccccc12)NCc1ccc(Cl)cc1
CN1C(=O)/C(=C\C(=O)c2ccc(Br)cc2)c2ccccc21
CC(=O)c1c(C)n(C)n(-c2ccccc2)c1=O
Cc1sc(CN(C)C)cc1-c1ccccc1
Cc1ccc(-n2cn[nH]c2=O)cc1
CC(=O)Nc1ccc(-c2ccccc2[N+](=O)[O-])cc1[N+](=O)[O-]
O=C1c2ccccc2C(=O)N1Cc1ccsc1-c1ccccc1
COc1cccc(CNC(=S)NC(=O)c2sc3ccccc3c2Cl)c1
N#Cc1cc([N+](=O)[O-])cnc1Nc1ccccc1
Cc1sc(C(=O)N/N=C/C=C/c2ccccc2)cc1-c1ccccc1
NCc1ccsc1-c1ccccc1
COc1cc(/C=C/C(=O)Nc2ccc(F)cc2)c([N+](=O)[O-])cc1OC
COc1cc(/C=C/C(=O)Nc2cccc(Cl)c2)c([N+](=O)[O-])cc1OC
Cc1ccc(C(=O)/C=C\c2ccc(OS(=O)(=O)c3c(C)cc(C)cc3C)cc2)cc1
Cc1ccc(NCc2cc(Br)ccc2O)cc1C
CCOc1ccc(-c2oc3ccccc3c(=O)c2OS(=O)(=O)c2c(C)cc(C)cc2C)cc1
COc1ccc(-c2oc3ccccc3c(=O)c2OS(=O)(=O)c2c(C)c(C)c(C)c(C)c2C)cc1
O=C1O/C(=C\c2ccccc2)C(c2ccccc2)=C1c1ccccc1
O=S1(=O)C=C(c2ccccc2)c2ccccc21
Cc1ccc(C2=C(Cl)S(=O)(=O)c3cc(C)ccc32)cc1
O=S1(=O)C(Cl)=C(c2ccccc2)c2ccccc21
