auc_roc,auc_prc,se,sp,acc,mcc,precision,type,split,model,seed
0.9119345294903607,0.8996965595695434,0.8389423076923077,0.8660049627791563,0.8522588522588522,0.704947270471464,0.8660049627791563,tr,scaffold,gcn,0
0.8102564102564103,0.5820260881369346,0.44,0.9102564102564102,0.7961165048543689,0.3954191357844581,0.6111111111111112,va,scaffold,gcn,0
0.8583333333333334,0.8743211559808884,0.6875,0.8727272727272727,0.7864077669902912,0.5734108946580572,0.825,te,scaffold,gcn,0
0.9999940201401679,0.9999933659617588,1.0,0.9791183294663574,0.989010989010989,0.9782237434628259,0.9773299748110831,tr,scaffold,gcn,1
0.9793103448275863,0.9744354895902307,0.9777777777777777,0.9137931034482759,0.941747572815534,0.8854850020289587,0.8979591836734694,va,scaffold,gcn,1
0.9597264437689969,0.9566692105428564,0.9285714285714286,0.8723404255319149,0.9029126213592233,0.8042802613950392,0.896551724137931,te,scaffold,gcn,1
0.995714541868388,0.9948726801648817,0.9871794871794872,0.958041958041958,0.9719169719169719,0.9442681202736719,0.9553349875930521,tr,scaffold,gcn,2
0.9863636363636363,0.9854810639040665,0.9583333333333334,0.8727272727272727,0.912621359223301,0.829491085101586,0.8679245283018868,va,scaffold,gcn,2
0.900075414781297,0.9064454655582619,0.8627450980392157,0.8269230769230769,0.8446601941747572,0.6899283780181308,0.8301886792452831,te,scaffold,gcn,2
0.9999700379918264,0.9999659575054296,0.9973753280839895,1.0,0.9987789987789988,0.9975486968100797,1.0,tr,scaffold,gcn,3
0.9796380090497737,0.9680356167474995,0.9038461538461539,0.9411764705882353,0.9223300970873787,0.8453414407537623,0.94,va,scaffold,gcn,3
0.9608662613981762,0.9714377748181696,0.875,0.8723404255319149,0.8737864077669902,0.746207232422857,0.8909090909090909,te,scaffold,gcn,3
0.9986032685902564,0.9985850315519083,0.9848866498740554,0.981042654028436,0.9829059829059829,0.9657967230529021,0.9799498746867168,tr,scaffold,gcn,4
0.9509578544061302,0.9403723954700594,0.8444444444444444,0.9310344827586207,0.8932038834951457,0.7827096563797372,0.9047619047619048,va,scaffold,gcn,4
0.9620060790273557,0.9558101168514667,0.9148936170212766,0.875,0.8932038834951457,0.7872063884604327,0.86,te,scaffold,gcn,4
1.0,1.0,0.9974424552429667,1.0,0.9987789987789988,0.9975557200250794,1.0,tr,scaffold,gcn,5
0.98,0.9829356553101259,0.9245283018867925,0.94,0.9320388349514563,0.8642022493381836,0.9423076923076923,va,scaffold,gcn,5
0.9662835249042145,0.9600553641494255,0.8888888888888888,0.896551724137931,0.8932038834951457,0.7836412049058596,0.8695652173913043,te,scaffold,gcn,5
0.9993853681823607,0.9993778816774993,0.9874686716791979,0.9880952380952381,0.9877899877899878,0.9755639097744361,0.9874686716791979,tr,scaffold,gcn,6
0.9818867924528303,0.9821383881468255,0.94,0.9056603773584906,0.9223300970873787,0.8453414407537623,0.9038461538461539,va,scaffold,gcn,6
0.9503968253968255,0.9514018748777254,0.85,0.9047619047619048,0.883495145631068,0.7547619047619042,0.85,te,scaffold,gcn,6
0.9996953113798213,0.9996683525483463,0.9897959183673469,0.990632318501171,0.9902319902319903,0.9804282368685179,0.9897959183673469,tr,scaffold,gcn,7
0.9505660377358491,0.9661870269955947,0.9245283018867925,0.84,0.883495145631068,0.7685996110946971,0.8596491228070176,va,scaffold,gcn,7
0.9911402157164869,0.9883795999271178,0.9545454545454546,0.9322033898305084,0.941747572815534,0.8823413481602952,0.9130434782608695,te,scaffold,gcn,7
0.9986833443054641,0.9986072939446229,0.9818181818181818,0.9815668202764977,0.9816849816849816,0.9632466559356768,0.9792746113989638,tr,scaffold,gcn,8
0.946078431372549,0.9485863096840258,0.9038461538461539,0.8431372549019608,0.8737864077669902,0.748679173492875,0.8545454545454545,va,scaffold,gcn,8
0.975867269984917,0.9794431852125955,0.9423076923076923,0.9411764705882353,0.941747572815534,0.883484162895927,0.9423076923076923,te,scaffold,gcn,8
0.9999940852201481,0.9999932970817315,0.9922279792746114,1.0,0.9963592233009708,0.9927125107882263,1.0,tr,scaffold,gcn,9
0.9675471698113208,0.9719685713512978,0.9245283018867925,0.94,0.9320388349514563,0.8642022493381836,0.9423076923076923,va,scaffold,gcn,9
0.9579166666666667,0.9576014502952761,0.88,0.8958333333333334,0.8877551020408163,0.7756717518813391,0.8979591836734694,te,scaffold,gcn,9
