cano_smiles,pred_prop
Cc1nc(Nc(ccc(OC)c2)c2OC)nc(Nc(ccc(OC)c2)c2OC)c1[N+]([O-])=O,179066,1,1.0
Cc1ccc(Cc2nnc(-c(cc3)ccc3NC(Nc(cc3)cc(OC)c3OC)=O)o2)cc1,245027,1,0.95
Cc(cc1)cc(C2(c3ccccc3)Nc3c4cc(C)cc3)c1NC24c1ccccc1,49785,1,0.88
Cc1c(C(Nc2cc(F)cc(F)c2)=O)sc(Nc2cc(F)ccc2)n1,229055,1,0.83
Cc(cc1)ccc1OC(C=NN(c(cc1)ccc1F)C1=O)=C1Nc1cc(C(NCCc2ncccc2)=O)ccc1,56237,1,0.91
COc(cc1)ccc1Nc1nc(NCc2cocc2)nc(N/N=C/c(cc2OCOc2c2)c2[N+]([O-])=O)n1,75840,1,0.98
O=C(c1c(cc(cc2)Cl)c2nc(-c2cnccc2)c1)Nc1cc(Cn2nccc2)ccc1,66126,1,0.9
O=C(NCCNc1c(ccc(Cl)c2)c2nc(-c2cccs2)n1)Nc(ccc(F)c1)c1F,137112,1,0.93
Cc1nn2c(C)cc(C(Nc(cc3)cc(C)c3F)=O)nc2c1,113059,1,0.86
CC(C)c(cc1)ccc1-n(c(C)c1)nc1NC(c1nc2ccccc2nc1)=O,11065,1,0.9
Cc(cc1)ccc1NC(C(N(C1=O)c(ccc(OC)c2)c2OC)=O)=C1Sc1cccc(NC(c2cccs2)=O)c1,191405,1,0.87
Cc(cc1)ccc1C(Nc1cc(-n(c(-c2cc(OC)ccc2)n2)nc2OC)ccc1)=O,220249,1,0.96
Fc(cc1)ccc1-c1c(-c2ccccc2)nc(-c2c[nH]c(cc3)c2cc3Br)[nH]1,135114,1,0.98
COc(cc1)ccc1C(Nc1nc(-c2cccs2)c(NC(c2ccco2)=O)s1)=O,196135,1,0.9
Cc1ccc(-c2c(Nc(cc3)cc4c3OCO4)n(cc(C)cc3)c3n2)o1,111756,1,0.95
COc1cc(OC)c(CNC(c2cn(cccc3)c3n2)=O)cc1,309409,1,0.8
Cc(cccc1)c1Oc1cc(NC(c2cn(-c3ccccc3)nc2-c2ccccc2)=O)cc(Oc2c(C)cccc2)c1,296261,1,0.94
COc(cc1)ccc1C1=CC(c(cc2)cc(Br)c2F)n2ncnc2N1,65559,1,0.89
Cc(cc1)cc2c1nc(-c1cccc(NC(c3cc(OC)cc(OC)c3)=O)c1)o2,260958,1,0.98
COc1cc(C(NN(C(c(cc2)ccc2F)=Nc2c3cccc2)C3=O)=O)cc(OC)c1,144831,1,0.9
Cc(c(c(C)c1)c2nc1OCC(N=C(C=C1)N3C=C1Cl)=CC3=O)nn2-c1ccc(C)cc1,64786,1,0.85
O=C(C(C=CC1=Nc2c3ccc(Cl)c2)=CN1C3=O)NCCc1c[nH]c2c1cccc2,28725,1,0.96
Cc1cccc(-n2ncc3c2ncnc3Nc(cc2)cc(Cl)c2OC)c1,217097,1,0.92
CCOC(c(cc1-c2cccc(NC(c3c(C)cccc3)=O)c2)nn1-c(cccc1)c1OC)=O,128554,1,0.87
CCCC(C(Nc(cc1)cc(OC)c1OC)=O)n1c(cccc2)c2nc1Cc(cc1)ccc1F,119133,1,0.8
Cc(ccc(Cl)c1)c1NC(c(cc1)cc2c1n(Cc1cc(OC)ccc1)nn2)=O,327741,1,0.98
Cc(cc1)cnc1NC(c(cc1)cc2c1n(Cc1ccccc1)nn2)=O,80172,1,0.9
Cc1cc(NC(c2c(c(-c3ccccc3)no3)c3nc(-c3ccco3)c2)=O)no1,292026,1,0.91
COc1c(CNC(c2cccc(CN(C3=O)c4ncccc4-n4c3ccc4)c2)=O)cccc1,185286,1,0.8
Cc1cc2nc(-c3cccc(F)c3F)c(NC(c3cc(F)ccc3)=O)n2cc1,187283,1,0.82
COc(cc1)ccc1Oc1cc(-c2cccc(C(Nc3cccc(F)c3)=O)c2)ncn1,167412,1,0.9
Cc(cc1)ccc1Nc1cc(C)nc(-c(cccc2)c2O)n1,302326,1,0.81
[O-][N+](c(cccc1/C=N/Nc2nc(Nc3ccccc3)nc(Nc3ccccc3)n2)c1O)=O,209396,1,0.94
CC(Nc1cccc(C(N/C(/NCCc2c[nH]c3c2cccc3)=N/c2c(C)cc(C)cc2)=O)c1)=O,224296,1,0.91
O=C1N(c2ccccc2)N=C(c2nc(-c(cc3)cc4c3OCO4)no2)c2c1cccc2,171169,1,0.81
Cc1cc2nn(-c(cc3)ccc3Cl)nc2cc1NC(c1cc(F)ccc1)=O,113171,1,0.94
COc(ccc(CNC1=NC=CN(c(cc2)cc(F)c2F)C1=O)c1)c1OC,282235,1,0.84
CC(C)(CC1C2=C(c(cc3)cc(OC)c3OC)Nc3c1c1ccccc1cc3)CC2=O,211402,1,0.83
Cc(c1c2)nc(N/C(/NC(c3ccccc3)=O)=N/C(c3ccccc3)=O)nc1ccc2OC,270696,1,0.98
Cc1cccc(NC(Oc2cc(C(Nc3cccc4ccccc34)=O)ccc2)=S)c1C,72752,1,0.87
O=C(c1cccc(NC(C(N(c(cc2)ccc2Cl)N=C2)=O)=C2Oc2ccccc2)c1)NCc(cc1)ccc1F,300697,1,0.82
Cc(cc1)cc(C)c1NC(CN(c(cccc1)c1C(NCc(cc1)cc2c1OCO2)=N1)C1=O)=O,304804,1,0.88
O=C(c1cc2ccccc2cc1)Nc1cc(-c2nc(cccc3)c3o2)ccc1,227846,1,0.9
C(Nc1ccc(Nc2nnc(Cl)cc2)cc1)(Nc1ccc(cc1)CC)=S,216721,1,0.93
O=C(CC(C1)c2ccccc2)C2=C1Nc(cccc1)c1NC2c1cc2ccccc2cc1,144671,1,0.81
Cc(cc1)cc(Br)c1NC(c1cccc(C(Nc(ccc(C)c2)c2Br)=O)n1)=O,28252,1,0.95
Cc(cc1c(C(NCCc(cc2)ccc2F)=O)c2)ccc1nc2-c1ncccc1,274066,1,0.84
Cc(cccc1)c1-n1nc(CS(C2)=O)c2c1NC(c(ccc(OC)c1)c1OC)=O,72888,1,0.82
Cc(ccc(F)c1)c1Nc1nc(-c(cc2OC)cc(OC)c2OC)nc2ccccc12,25580,1,0.99
COc(ccc1c2cc(C(NCCC(Nc3ncccc3)=O)=O)[nH]1)c2OC,157044,1,0.87
CC(C(Nc(cc1)cc(OC)c1OC)=O)n1c(cccc2)c2nc1Cc(cc1)cc(Cl)c1Cl,299223,1,0.89
COc(ccc(/C=C(/C1=O)\N=C(c(cc2)ccc2Cl)N1c(cccc1)c1Cl)c1)c1OC,255047,1,0.86
Cc1ccc(-c2nc3ccccc3c(C(Nc3nc(C)ccc3)=O)c2)o1,218741,1,0.97
COc1cc(OC)c(CNC(c2cc(Nc3nc(-c4ccccc4)ncc3)ccc2)=O)cc1,67931,1,0.97
O=C(c1c(cccc2Br)c2ccc1)Nc1cc(-c2nc(nccc3)c3o2)ccc1,266382,1,0.9
Cc(cc(cc1)[N+]([O-])=O)c1-c1ccc(C(Nc2cc(-c3nc(nccc4)c4o3)ccc2)=O)o1,343686,1,0.83
CNC(c1cc(cccc2)c2[nH]1)c1nnnn1-c(cc1)ccc1Cl,220598,1,0.81
Cc1nn2c(SCC(Nc3cccc(Cl)c3)=O)nc(cc(c(OC)c3)OC)c3c2n1,72019,1,0.81
COc1cc(-c2noc(CNc3cccc(Cl)c3)n2)cc(OC)c1OC,172275,1,0.86
Cc1cc2nc(C(NCc(cc3)cc(OC)c3OC)=O)cn2cc1,94540,1,0.89
COc1cc(C(N2NCc3cccc(Br)c3)=Nc(cccc3)c3C2=O)cc(OC)c1OC,163102,1,0.87
CC(Nc(cc1)ccc1-c1nc2ccc(C)cc2c(C(Nc(cc(C)cc2)c2OC)=O)c1)=O,121210,1,0.99
CCOc(nc1-c2ccc(C)cc2)nn1-c(cc1)ccc1NC(c1cc(OC)ccc1)=O,284912,1,0.81
COc(cccc1)c1-c1cccc(-c2cccc(NC(c(cc3)c(C(F)(F)F)cc3F)=O)c2)n1,25305,1,0.81
CC(C)c(cc1)ccc1NC(c1cc(ccc2cccnc22)c2[nH]1)=O,308914,1,0.87
Cc(cc1)c(C)cc1NC(C(N(C1=O)c(cc2)ccc2F)=O)=C1Sc1cc(NC(Nc(cc2)ccc2OC)=O)ccc1,93146,1,0.89
COc(cc1)ccc1-c1nn(C(CC(Nc2cccc(F)c2)=O)C(N2)=O)c2n1,271018,1,0.85
COc1cc(-n2c(-c3c(CC4)cccc3)c4cc2CCC(NCc(cc2)ccc2F)=O)cc(OC)c1,199134,1,0.8
Cc1nc(cccc2)c2n1-c1nc(-n2cncc2)nc(N(c2ccccc2)c2ccccc2)n1,323855,1,0.86
Cc1cccc(-c2nc3ccccc3c(Nc(cc3)cc(Cl)c3OC)n2)c1,99095,1,0.99
Cc(nc(C(F)(F)F)cc1)c1C(Nc1cccc(-c2cccc(-c(cc3)ccc3F)n2)c1)=O,29950,1,0.81
Cc(cc1)cc2c1nc(-c1cc(NC(c3ccc(CC4)c5c4cccc35)=O)c(C)cc1)o2,37059,1,0.99
Clc(cc1)ccc1-c(c1c2cccc1)nn1c2nc(cc2)c1cc2N1CCNCC1,337109,1,0.88
Cc(cc1)cc(C)c1Nc1c(CCC2)c2nc2ccccc12,21278,1,0.84
