type,se,precision,auc_roc,acc,mcc,model,des,split
tr,0.9805446007973364,0.9560666077938617,0.9931609554922082,0.9692485508019489,0.9387852834909743,SVM,MACCS,random
te,0.8671779907618455,0.8508262262687103,0.9324703214984389,0.8632355854963345,0.7261547586421615,SVM,MACCS,random
va,0.8838546424375266,0.8513032450357455,0.932035390028646,0.8679611650485436,0.7363712959747852,SVM,MACCS,random
